1,2,9,15
1,3,97,6
1,4,78,13
1,5,10,28
1,6,92,25
1,7,79,4
1,8,9,13
1,9,1,18
2,2,49,27
2,3,49,7
2,4,65,29
2,5,80,18
3,2,54,0
5,2,57,25
7,2,31,9
7,3,64,14
7,4,94,2
7,5,92,26
8,2,90,3
8,3,92,8
8,4,66,25
8,5,88,24
8,6,70,5
8,7,81,27
8,8,42,27
9,2,65,13
10,2,60,29
10,3,95,11
10,4,16,1
11,2,65,15
11,3,55,14
11,4,87,1
11,5,41,7
12,2,76,5
12,3,63,28
12,4,70,6
12,5,14,18
12,6,93,23
12,7,93,0
12,8,41,20
12,9,8,5
13,2,38,3
13,3,90,10
13,4,55,3
13,5,6,19
13,6,30,21
13,7,23,28
13,8,54,3
15,2,66,14
15,3,48,9
15,4,36,4
15,5,86,7
15,6,86,22
